what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1468826604670
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1468826604701
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1468826604701
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1468826604701
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1468826604701
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1468826604717
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1468826604717
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1468826604717
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1468826604748
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1468826604748
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1468826604748
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1468826604748
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1468826604748
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1468826604748
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1468826604748
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1468826604764
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1468826604764
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1468826604764
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1468826604764
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1468826604764
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1468826604764
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1468826604764
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1468826604764
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1468826604764
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1468826604764
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1468826604764
os,sysinfo,,,"win32",1468826604779
arch,sysinfo,,,"x86_64",1468826604779
ws,sysinfo,,,"win32",1468826604779
locale,sysinfo,,,"en_US",1468826604779
processors,sysinfo,,,"2",1468826604779
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1468826604779
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1468826604779
java.specification.name,sysinfo,,,"Java Platform API Specification",1468826604779
java.specification.vendor,sysinfo,,,"Oracle Corporation",1468826604779
java.specification.version,sysinfo,,,"1.7",1468826604779
java.vendor,sysinfo,,,"Oracle Corporation",1468826604779
java.version,sysinfo,,,"1.7.0_79",1468826604779
java.vm.info,sysinfo,,,"mixed mode",1468826604779
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468826604779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468826604779
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468826604779
java.vm.specification.version,sysinfo,,,"1.7",1468826604779
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468826604779
java.vm.version,sysinfo,,,"24.79-b02",1468826604779
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1468826604826
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1468826604826
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1468826605107
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1468826605216
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1468826605278
